Province,Population,GPP(Millions_Baht),percent_of_national_GDP,GPP_per_capital_(ß),GPP_per_capita_(US$_nominal),GPP_per_capita_(I$_PPP),GPP_Million_Dollar
 Amnat Charoen,280963,17567,0.136,62524,2035,5067,571.76
 Ang Thong,257116,24338,0.189,94658,3080,7671,791.92
 Bangkok,8515212,3975275,30.792,466844,15192,37832,129363.10
 Buriram,1262954,80688,0.625,63889,2079,5177,2625.68
 Chachoengsao,751301,316747,2.453,421597,13719,34165,10307.10
 Chainat,310172,34529,0.267,111322,3623,9021,1123.75
 Chaiyaphum,960211,58565,0.454,60992,1985,4943,1906.02
 Chanthaburi,510704,93869,0.727,183803,5981,14895,3054.52
 Chiang Mai,1725580,184132,1.426,106707,3472,8647,5991.21
 Chiang Rai,1162173,93528,0.724,80477,2619,6522,3043.73
 Chonburi,1609883,737077,5.709,457845,14899,37103,23985.65
 Chumphon,478243,63724,0.494,133246,4336,10798,2073.66
 Kalasin,930584,54072,0.419,58106,1891,4709,1759.73
 Kamphaeng Phet,786804,125814,0.975,159906,5204,12958,4094.53
 Kanchanaburi,802118,84785,0.657,105701,3440,8566,2759.29
 Khon Kaen,1741818,190826,1.478,109556,3565,8878,6209.58
 Krabi,368138,68142,0.528,185099,6023,15000,2217.30
 Lampang,741809,64105,0.497,86417,2812,7003,2085.97
 Lamphun,409490,64670,0.501,157929,5139,12798,2104.37
 Loei,542475,44840,0.347,82658,2690,6698,1459.26
 Lopburi,773512,90829,0.704,117424,3821,9516,2955.59
 Mae Hong Son,204236,10401,0.081,50924,1657,4127,338.42
 Maha Sarakham,830388,52315,0.405,63001,2050,5105,1702.30
 Mukdahan,352127,22764,0.176,64648,2104,5239,740.88
 Nakhon Nayok,259937,24455,0.189,94081,3062,7624,795.93
 Nakhon Pathom,1001077,223244,1.729,223003,7257,18072,7264.82
 Nakhon Phanom,575764,42074,0.326,73074,2378,5922,1369.17
 Nakhon Ratchasima,2507768,242476,1.878,96690,3146,7835,7889.44
 Nakhon Sawan,985550,119700,0.927,121455,3952,9842,3894.89
 Nakhon Si Thammarat,1489102,139625,1.082,93765,3051,7598,4543.25
 Nan,447811,25929,0.201,57901,1884,4692,843.68
 Narathiwat,679625,44231,0.343,65081,2118,5274,1439.45
 Nong Bua Lamphu,479823,22458,0.174,46804,1523,3793,730.77
 Nong Khai,453465,38467,0.298,84828,2760,6874,1251.56
 Nonthaburi,1424417,201708,1.562,141608,4608,11475,6563.71
 Pathum Thani,1399285,321288,2.489,229609,7472,18607,10455.46
 Pattani,618017,45576,0.353,73745,2400,5976,1483.24
 Phang Nga,263615,44334,0.343,168178,5473,13629,1442.76
 Phattalung,494742,32373,0.251,65433,2129,5303,1053.31
 Phayao,415543,33369,0.258,80303,2613,6508,1085.81
 Phetchabun,928844,73435,0.569,79061,2573,6407,2389.92
 Phetchaburi,475406,58663,0.454,123396,4015,10000,1908.76
 Phichit,544621,61787,0.479,113450,3692,9194,2010.74
 Phitsanulok,905570,92422,0.716,102060,3321,8271,3007.40
 Phra Nakhon Si Ayutthaya,870153,367571,2.847,422421,13746,34232,11961.12
 Phrae,426411,27442,0.213,64355,2094,5215,892.90
 Phuket,531112,133283,1.032,250952,8166,20336,4337.06
 Prachinburi,574770,182501,1.414,317520,10333,25731,5939.10
 Prachuap Khiri Khan,466496,71476,0.554,153219,4986,12416,2325.95
 Ranong,251834,20996,0.163,83371,2713,6756,683.23
 Ratchaburi,800711,142182,1.101,177569,5778,14390,4626.51
 Rayong,855778,905664,7.015,1058293,34438,85761,29471.28
 Roi Et,1079249,71088,0.551,65868,2143,5338,2312.83
 Sa Kaeo,585071,33417,0.259,57116,1859,4629,1087.65
 Sakon Nakhon,818917,54513,0.422,66567,2166,5394,1773.77
 Samut Prakan,1941323,683921,5.298,352296,11464,28549,22255.33
 Samut Sakhon,921354,317810,2.462,344938,11225,27953,10342.20
 Samut Songkhram,187691,18352,0.142,97776,3182,7924,597.23
 Saraburi,717454,203593,1.577,283771,9234,22996,6624.97
 Satun,276750,29597,0.229,106944,3480,8666,963.09
 Sing Buri,202712,27723,0.215,136758,4450,11083,902.07
 Sisaket,1047333,68505,0.531,65409,2128,5301,2228.72
 Songkhla,1511410,220712,1.71,146030,4752,11834,7182.22
 Sukhothai,624519,50117,0.388,80249,2611,6503,1630.62
 Suphan Buri,854005,81072,0.628,94932,3089,7693,2638.02
 Surat Thani,1029161,161949,1.254,157360,5121,12752,5270.33
 Surin,1117579,72533,0.562,64902,2112,5259,2360.33
 Tak,515762,40136,0.311,77819,2532,6306,1305.91
 Trang,612713,68146,0.528,111219,3619,9013,2217.41
 Trat,258944,34176,0.265,131983,4295,10696,1112.16
 Ubon Ratchathani,1730304,113296,0.878,65478,2131,5306,3687.28
 Udon Thani,1274172,103742,0.804,81419,2649,6598,3375.28
 Uthai Thani,294909,30212,0.234,102444,3334,8302,983.23
 Uttaradit,436912,38433,0.298,87966,2863,7129,1250.88
 Yala,439622,42180,0.327,95947,3122,7775,1372.50
 Yasothon,485483,28421,0.22,58541,1905,4744,924.85
